Name of the product,Product Brand,categories,primaryCategories,reviews.date,reviews.text,reviews.title,sentiment,review_length,sentiment_score
16,0,8,0,2017-05-18T00:00:00.000Z,i got thi tablet to replac my son old one i love the adultchild profil and the abil to have the 2 year replac warranti the case ha also came in handi mani time,"['great', 'tablet']",Positive,34,0.765
2,0,10,0,2017-01-06T00:00:00.000Z,great product for the kid game app parent control to make sure you can monitor kid and prevent unwant app purchas,"['work', 'great']",Positive,21,0.7579
4,0,18,0,2017-01-16T00:00:00.000Z,love the choic of color have two kindl of my own and purchas thi for a gift,"['great', 'pad', 'for', 'both', 'child', 'and', 'adult']",Positive,17,0.7964
0,0,12,0,2016-12-31T00:00:00.000Z,it replac my 6 fire kindl love the hd qualiti,"['love', 'the', 'amazon', '8', 'hd']",Positive,10,0.4215
2,0,10,0,2016-12-28T00:00:00.000Z,we bought thi to replac my child age ipad and theyr veri happi,['awesom'],Positive,13,0.0
2,0,10,0,2017-01-31T00:00:00.000Z,thi wa a great purchas love the fact i can download tv or movi and watch offlin easi set up,"['great', 'tablet']",Positive,20,0.8519
5,0,1,1,2018-04-18T00:00:00.000Z,surprisingli use ben 2 echo is much better than gen 1 definit recommend,"['it‚äô', 'good']",Positive,13,0.6597
19,0,11,0,2017-04-12T00:00:00.000Z,not a good a befor the old kindl just seam to work better,"['not', 'a', 'good', 'a', 'befor']",Neutral,13,0.1265
5,0,1,1,2017-12-01T00:00:00.000Z,got thi model onli becaus of the sale price and the built in hub that control my hue strip light andi didnäôt want to say googl all the time sound like babi talk to melol,"['work', 'great']",Positive,35,0.4215
9,0,6,1,2018-02-25T00:00:00.000Z,i wa a littl hesit to spend the money to get thi but i am so glad i did alexa alway answer when i say the command and i have notic it is probabl 95 right with ani command that i have given love the fact that i can see thing on the screen some of my news brief have a picturevideo so that nice too we also love the video call option plan on get one for my grandma who is not a technolog advanc and could just sit at a tabl and talk with the grandkid worth everi penni,"['so', 'simpl', 'and', 'power']",Positive,101,0.9785
5,0,1,1,2017-12-20T00:00:00.000Z,alexa exceed expect in it abil to control,"['great', 'experi', 'exce', 'expectaton']",Positive,8,0.0
16,0,8,0,2017-01-30T00:00:00.000Z,great tablet for the grandkid they love it great item,"['great', 'tablet']",Positive,10,0.9246
13,0,9,0,2016-09-13T00:00:00.000Z,for those that have prime thi is almost a must have keep all your amazon stuff in one place,"['great', 'tablet', 'for', 'amazon']",Positive,19,0.1779
2,0,10,0,2016-12-14T00:00:00.000Z,it is small enough to carri in your purs and open up a whole new world while wait at appoint,"['can', 'download', 'audio', 'book']",Positive,20,0.0
12,0,0,0,2017-07-19T00:00:00.000Z,if you want to listen to music you will have to sign for amazon unlimit or prime which is veri expens pandora doe not work too well with thi devic a it doe with googl home,"['great', 'product', 'but', 'requir', 'amazon', 'membership']",Positive,36,0.048
2,0,10,0,2017-01-30T00:00:00.000Z,thi wa a gift for mom she enjoy that it easi to use and ha good pictur and sound qualiti the price wa also great,"['great', 'everi', 'day', 'tablet']",Positive,25,0.9382
7,0,21,0,2016-09-02T00:00:00.000Z,thi kindl ha easier view and the light adjust is great,"['we', 'bought', 'it', 'for', 'our', 'son', 'and', 'he', 'love', 'it']",Positive,11,0.8519
19,0,11,0,2016-09-27T00:00:00.000Z,want a tablet that would fit in my purs veri easi to use would buy again,"['love', 'it']",Positive,16,0.4215
16,0,8,0,2016-11-25T00:00:00.000Z,grand kid love it and it pick up the network in short order they like the idea they have an ipad like the adult well implement,"['love', 'it', 'grandkid', 'took', 'to', 'it', 'immedi']",Positive,26,0.9231
12,0,0,0,2017-08-04T00:00:00.000Z,good but setup to enabl voic control onli on io is unclear,"['good', 'but', 'setup', 'to', 'enabl', 'voic', 'control', 'onli']",Positive,12,-0.1406
9,0,6,1,2018-03-02T00:00:00.000Z,we are new to connect home equip i got thi for my wife in our kitchen the onli thing i wish wa differ would be that the amazon show would commun directli with facetim rather than have to have someon download the alexa app not a deal breaker by ani mean though we love it,"['love', 'it']",Positive,55,0.8225
9,0,6,1,2018-02-18T00:00:00.000Z,i use it alot to play music instead of run the tv for my dog when we go somewher i use it for a lot of thing,"['i', 'like', 'it', 'a', 'lot']",Positive,27,0.34
5,0,1,1,2017-12-22T00:00:00.000Z,easi to set up easi to use app are awesom and sound great,"['love', 'it']",Positive,13,0.6249
19,0,11,0,2016-12-30T00:00:00.000Z,thi is a great tablet for basic need internet video stream game book you dont need an ipad get one of these,"['great', 'cheap', 'tablet']",Positive,22,0.6249
2,0,10,0,2016-11-05T00:00:00.000Z,i like thi tablet it ha everyth you want howev the app within it need to be updat more often if thi happen than it would be top abov an ipad mini for now it give me enough of what i need and in hd for 89 it wa a good deal,"['solid', 'tablet', 'with', 'potenti']",Positive,52,0.836
9,0,2,1,2018-01-26T00:00:00.000Z,work better than expect highli recommend the echo show,['awesom'],Positive,9,0.6597
5,0,1,1,2017-12-29T00:00:00.000Z,great sound qualiti easi to set up easi to use look good too,"['great', 'product']",Positive,13,0.7906
2,0,10,0,2017-04-09T00:00:00.000Z,thi tablet is quick and a good a my ipad i use the tablet specif for one aspect of my life and it perform great i am pleasantli surpris by it perform,"['fabul', 'easi', 'tablet']",Positive,32,0.7906
9,0,2,1,2018-01-06T00:00:00.000Z,amazon echo show ha been a great help to my daili rutin from ask simpl thing like the weather to more specif thing like flash brief or traffic to my commut echo show is a great tool for ani tech enthusiast,"['great', 'assist']",Positive,41,0.9673
2,0,10,0,2017-03-26T00:00:00.000Z,ha meet all my need plu some recommend you buy a good stylu pen at the same time,"['doe', 'all', 'that', 'i', 'need']",Positive,18,0.7783
2,0,10,0,2016-11-04T00:00:00.000Z,thi is a great tablet it ha amaz storag i use mine daili great for read surf the web and game the one small thing i dont like is amazon prime show are a bit dark for some reason hulu and netflix work wonder,"['great', 'tablet']",Positive,44,0.839
16,0,8,0,2017-01-27T00:00:00.000Z,it a good tablet and come with a lot of free app and a fantast warranti,"['user', 'friendli']",Positive,16,0.7351
9,0,6,1,2017-12-22T00:00:00.000Z,i use it in my offic a a person assist not just for the home,"['endless', 'possibl']",Positive,15,0.0
9,0,2,1,2018-02-21T00:00:00.000Z,tech is not total friendli but for the cost and what it doe it is worth the invest,"['love', 'it']",Positive,18,0.3291
12,0,0,0,2016-07-21T00:00:00.000Z,the tap is essenti a smaller version of the echo that ha alexa capabl like echo doe but also doubl a a portabl bluetooth speaker you do need to tap it to ask alexa to do anyth but otherwis it work the same a echo i prefer the echo but the tap is great for colleg student and those who just want to supplement their echo,"['nice', 'altern', 'to', 'the', 'echo']",Positive,66,0.8608
9,0,6,1,2017-12-25T00:00:00.000Z,awesom product doe what it say and look great,['great'],Positive,9,0.6249
1,0,13,0,2017-01-27T00:00:00.000Z,i bought thi devic to use with child in my therapi practic it is take me awhil to figur out how to set it up and organ it it took over and set up thing with amazon i did not approv such a charg my account and regist me with prime befor i could figur out the set the pictur qualiti for the screen is beauti but the camera photo are veri pixel,"['the', 'fire', 'is', 'good', 'for', 'the', 'price']",Positive,73,0.09
2,0,10,0,2017-01-13T00:00:00.000Z,inexpens tablet for him to use and learn on step up from the nabi he wa thrill with it learn how to skype on it alreadi,"['beginn', 'tablet', 'for', 'our', '9', 'year', 'old', 'son']",Positive,26,0.3612
19,0,11,0,2016-10-19T00:00:00.000Z,our 3rd amazon fire the batteri life is outstand realli nice when read a book not have to worri about the batteri nice size,"['amazon', 'fire']",Positive,24,0.5994
9,0,2,1,2017-12-04T00:00:00.000Z,at first i wasnt sure if thi wa someth i need when i alreadi have the echo but it wa on sale for black friday so i thought whi not a soon a it wa set up i understood whi i need thi it just enhanc everyth alexa doe be abl to see what she say is great see and adjust my shop list by touch is amaz i love walk in the room and see littl news blurb it look sleek and beauti on my counter i highli recommend thi to anyon,"['hesit', 'at', 'first', 'but', 'i', 'am', 'so', 'impress']",Positive,93,0.9453
19,0,11,0,2017-02-05T00:00:00.000Z,i bought thi for my wife a a gift to replac her older fire absolut love it ha all of the featur she need i dont think there is a better tablet on the market and the valu is incred,"['best', 'tablet', 'on', 'the', 'market', 'for', 'the', 'money']",Positive,40,0.875
9,0,2,1,2018-01-27T00:00:00.000Z,love have thi in my kitchen play music ask question make list set timer etc,"['so', 'cool']",Positive,15,0.765
9,0,6,1,2018-05-18T00:00:00.000Z,it at it heart an echo but have a screen on it with 1000 of thing to do with it make it a much easier recommend over the simarli price screenless echo plu,"['the', 'screen', 'chang', 'everyth']",Positive,33,0.8608
2,0,10,0,2016-12-31T00:00:00.000Z,work well easi to use i like the auto on when you open the case,"['excel', 'reader']",Positive,15,0.5574
5,0,1,1,2018-02-17T00:00:00.000Z,great entertain when friend are over the knowledg and joke are ton of fun,['outstand'],Positive,14,0.9337
2,0,10,0,2016-12-07T00:00:00.000Z,definit an amaz deal at an amaz price on black friday weekend,"['work', 'great']",Positive,12,0.0
19,0,11,0,2017-02-14T00:00:00.000Z,thi littl sorcer box display magic pictur and bright pretti color,"['magic', 'pictur', 'box']",Positive,11,0.4404
17,0,13,0,2017-02-17T00:00:00.000Z,the kindl fire kid is easi enough that our 2 year old can work it,"['love', 'it', 'for', 'my', 'toddler']",Positive,15,-0.34
9,0,6,1,2018-02-03T00:00:00.000Z,if you use the alexa ecosystem then the show is a must,"['great', 'product']",Positive,12,0.0
17,0,13,0,2017-04-22T00:00:00.000Z,there is noth spectacular about thi item but also noth majorli wrong with it the biggest flaw is that thi is gear to kid and there is no way that i have found search set or onlin to lock the touch screen so that a video keep play if the child hit the screen thi mean lot of time help get back into the movi or show rather than just relax like an ipad can do with guid access activ,"['doe', 'what', 'it', 'say', 'miss', 'one', 'key', 'featur']",Neutral,80,0.7783
13,0,9,0,2016-07-13T00:00:00.000Z,the commerci are correct at thi price you can have multipl devic in your household for the price of a compar competitor tablet,"['unbeliev', 'valu']",Positive,23,0.0
3,0,14,0,2017-04-01T00:00:00.000Z,i have not set up tablet geek squad to do so monday april 3 2017,"['i', 'love', '‚ù§', 'tablet']",Positive,15,-0.2023
9,0,6,1,2017-12-22T00:00:00.000Z,if you like video thi goe along perfect a must buy,"['got', 'have', 'it']",Positive,11,0.7351
14,0,22,3,2017-07-28T00:00:00.000Z,ive had the first kindl fire i love the tabletwhi becaus it bigger,"['easier', 'to', 'read']",Positive,13,0.4215
16,0,8,0,2017-01-07T00:00:00.000Z,thi wa a good pick for first kid tablet i just wish get to their app wa a littl easier,"['good', 'item', 'for', 'my', 'granddaught']",Positive,20,0.8126
5,0,1,1,2018-01-26T00:00:00.000Z,i wa weari about it at first but it wa easi to setup and get the hang of and definit make life easier,"['love', 'it']",Positive,23,0.5719
2,0,10,0,2017-02-07T00:00:00.000Z,thi wa a gift for a famili member they realli enjoy all the option of get book,"['great', 'a', 'a', 'gift', 'they', 'love', 'it', 'better', 'than', 'paper', 'bac']",Positive,17,0.7269
5,0,1,1,2017-12-01T00:00:00.000Z,alexa work pretti good music sound good just explor all her skill,"['nice', 'sound']",Positive,12,0.7003
12,0,0,0,2016-07-22T00:00:00.000Z,i love my echo tap i have my own person alarm inform me on today weather forcast and local event great purchas,"['echo', 'tap', 'is', 'great']",Positive,22,0.7845
4,0,18,0,2017-05-07T00:00:00.000Z,pretti decent tablet good for mindless game and netflix you get what you pay for,"['good', 'basic', 'tablet']",Positive,15,-0.1027
9,0,6,1,2018-02-23T00:00:00.000Z,i realli enjoy have anoth way to commun with famili and friend,"['it‚äô', 'realli', 'great']",Positive,12,0.7506
13,0,9,0,2016-07-11T00:00:00.000Z,i use thi all the time for play game and read book it great for surf the web too,['great'],Positive,19,0.7579
9,0,6,1,2018-01-17T00:00:00.000Z,the echo show is a great accessori to ani hous it ha a great pictur on it and great sound itäô simpl to use my wife use it for recip when cook and make groceri list also listen to music with crisp sound can ask alexa pretti much anyth,"['awesom', 'product']",Positive,49,0.9403
19,0,11,0,2016-08-13T00:00:00.000Z,sinc i purchas mine the wife thought she would also like one so we pick up her one and she is use it a lot,"['the', 'wife', 'love', 'her', 'new', 'fire', 'tablet']",Positive,25,0.3612
16,0,8,0,2016-09-30T00:00:00.000Z,my son wash it twice throw it a few time and it still tick,"['great', 'tablet', 'for', 'kid']",Positive,14,0.0
5,0,1,1,2018-01-08T00:00:00.000Z,my home is about 80 autom with help from alexaw want to have one in each room,"['awesom', 'alexa']",Positive,17,0.4588
21,0,15,0,2017-02-24T00:00:00.000Z,it a great eread but a littl prici it ha the same spec a the voyag a far a pixel and procesor which cost le the onli differ between thi and the voyag is that it much lighter it brighter led and a longer batteri life if your use the cover ive notic the batteri life drain much faster without the cover but youll still be abl to read for hour without it you would think it be water resist henc the name but it isnt but then i dont plan on read when it rain or outsid or while take a bath overal it the best eread amazon current ha to offer but if you dont mind the price tag and want the best then go for it voyag is still not a bad option though,"['best', 'kindl', 'yet']",Positive,137,0.9849
16,0,8,0,2017-03-15T00:00:00.000Z,both love thi tablet and the numer educ app avail that i bought one for each,"['my', '1', 'and', '3', 'year', 'old', 'love', 'it']",Positive,16,0.6369
2,0,10,0,2017-01-06T00:00:00.000Z,bought it for my 10 yr old granddaught doe everyth she want it to do in a tablet,"['granddaught', 'love', 'it']",Positive,18,0.0772
20,0,16,3,2018-01-27T00:00:00.000Z,i wa unabl to find a new kindl instor and wa excit to find best buy had them onlin and i could purchas it and have it deliv simpli and easili,"['plea', 'with', 'my', 'kindl']",Positive,31,0.6369
13,0,9,0,2017-02-13T00:00:00.000Z,it great but i miss the hd option my 5yo love it,"['great', 'tablet', 'for', 'a', '5yo']",Positive,12,0.8151
13,0,9,0,2017-06-22T00:00:00.000Z,i can read book listen to book go on facebook shop search the web almost anyth on my brand new kindl fire,"['love', 'the', 'new', 'option', 'avail', 'on', 'my', 'new', 'kindl']",Positive,22,-0.34
18,0,19,0,2016-10-03T00:00:00.000Z,great tablet for simpl task i bought 2 and i have no complaint,"['great', 'for', 'everyday', 'medium']",Positive,13,0.7174
15,0,17,0,2017-01-30T00:00:00.000Z,purchas wa to replac fire hd 89 that wa left on a plane found return 50 day later like thi smaller version due to size it 3 year newer on the technolog side,"['amazon', 'fire', 'hd8', '8', 'tablet', '32gb']",Positive,33,0.0258
9,0,6,1,2017-12-01T00:00:00.000Z,love the echo show so much easi to use connect to your mobil phone to easili call peopl,"['echo', 'show', 'is', 'easi', 'to', 'use']",Positive,18,0.6369
2,0,10,0,2017-01-18T00:00:00.000Z,i chose thi one becaus of the price and size of screen to use a an eread it ha not disappoint,"['great', 'a', 'eread']",Positive,21,0.5659
2,0,10,0,2017-01-27T00:00:00.000Z,i bought thi for my 86 year old father he love it find it veri easi to use,"['veri', 'easi', 'to', 'use']",Positive,18,0.3818
5,0,1,1,2018-04-03T00:00:00.000Z,still learn and figur out all it can do for me,"['great', 'product', 'it', 'work']",Positive,11,0.0
11,0,7,0,2017-11-16T00:00:00.000Z,everyth is great except that i cant read extern pdf properli either it zoom too much of too littl for kindl book it provid great experi batteri life is awesom,"['extern', 'pdf', 'doe', 'not', 'work', 'properli']",Positive,30,0.8481
9,0,6,1,2018-01-18T00:00:00.000Z,easi to instal veri easi to use we enjoy the product and learn more about it all the time,"['excel', 'product']",Positive,19,0.4939
13,0,9,0,2017-07-06T00:00:00.000Z,good product and the qualiti of the product is good easi to use,['reader'],Positive,13,0.7003
16,0,8,0,2016-12-30T00:00:00.000Z,it worth everi penni the kid love it our home is quieter then ever,"['great', 'tablet', 'for', 'the', 'kid', 'and', 'book', 'read']",Positive,14,0.7269
9,0,6,1,2017-12-01T00:00:00.000Z,great for look up recip when your cook and your hand are tie up also perfect for äúdrop inäù on famili friend,"['great', 'product']",Positive,22,0.9349
12,0,0,0,2016-09-23T00:00:00.000Z,love the tap the speaker is nice likenit ha a charg cradl it can sit on easi charg,"['love', 'it']",Positive,18,0.8555
13,0,9,0,2016-07-01T00:00:00.000Z,i would highli recommend thi kindl it is user friendli and not to big but larg enough to see easili,"['great', 'tablet']",Positive,20,0.1901
2,0,10,0,2017-01-06T00:00:00.000Z,it unfair for me to rate thi product caus i have not even taken it out of the box to set it up,"['havent', 'set', 'it', 'up', 'yet']",Neutral,23,-0.4767
2,0,10,0,2017-02-04T00:00:00.000Z,is great for my son 8 year old they help with homework,['excel'],Positive,12,0.7783
9,0,6,1,2017-12-25T00:00:00.000Z,worthless except a a regular echo and a poor excus for video chat i love my echo devic bathroom pool kitchen other place where i may need hand free voic activ music and info my wife bought me the newest hottest thing i wa skeptic but then thought i would use it to help on a project me alexa find video on f450 drone alexa youtub is not avail amazon wont directli sell chrome product youtub wont play on echo show further test show the video call is more limit than iphon or android app for video so the most use thing now is the same voic function that my echo and dot perform unless i want to make all of my video call and check the weather from a devic i can move no more than 3 foot from an outlet,"['useless', 'screen', 'so', 'whi', 'pay', 'for', 'it']",Negative,142,0.0693
19,0,11,0,2016-06-04T00:00:00.000Z,the tabl is great just to experi what is avail on a tablet without a hugh expens i would recommend to other,"['great', 'tablet', 'at', 'minim', 'expens']",Positive,22,0.765
2,0,10,0,2016-12-27T00:00:00.000Z,gift for daughter she love it just open so a far a i know it will be a great purchas,"['kindl', '8']",Positive,20,0.9042
16,0,8,0,2016-10-07T00:00:00.000Z,i love to buy stuff at best buy most of the employe are great at help with everyth i needespeci jissela,"['great', 'tablet', 'for', 'the', 'kid']",Positive,21,0.9451
15,0,17,0,2017-01-16T00:00:00.000Z,love the choic of color have two kindl of my own and purchas thi for a gift,"['great', 'pad', 'for', 'both', 'child', 'and', 'adult']",Positive,17,0.7964
9,0,2,1,2017-12-20T00:00:00.000Z,overal work well sound better than dot screen is clear,"['screen', 'nice', 'addit']",Positive,10,0.765
15,0,17,0,2016-12-29T00:00:00.000Z,it wa easi to set up and use best buy employe were a huge help teach me about the mani featur,['great'],Positive,21,0.8481
13,0,9,0,2017-01-01T00:00:00.000Z,too bad amazon turn thi tablet into a big advertis tool mani app dont work and the camera is not good,"['amazon', 'fire', '7', 'tablet']",Negative,21,-0.6377
9,0,6,1,2017-12-29T00:00:00.000Z,i love the echo show and it mani featur great purchas,['amaz'],Positive,11,0.8519
16,0,8,0,2016-09-23T00:00:00.000Z,my 9 year old love it good control option just need to figur out how to get the web browser on her side,"['good', 'parent', 'control']",Positive,23,0.7964
11,0,7,0,2017-03-17T00:00:00.000Z,when you first turn on the kindl the home screen doe not make it easi to determin exactli how to open up and read a download book,"['the', 'home', 'screen', 'is', 'not', 'terribl', 'easi', 'to', 'navig']",Positive,27,0.0
2,0,10,0,2016-12-15T00:00:00.000Z,i have realli enjoy it so far while not perfect by ani mean it is certainli worth the price,"['well', 'worth', 'the', 'price']",Positive,19,0.2737
20,0,16,3,2017-08-26T00:00:00.000Z,my fianc realli enjoy it i would definit recommend,"['great', 'product']",Positive,9,0.6908
7,0,21,0,2015-04-16T00:00:00.000Z,excel screen the small chang to the form make a huge differ i ador the flat so much and the bright is a perfect for daylight imo worth the cost,"['the', 'best', 'eread', 'on', 'the', 'market']",Positive,30,0.9153
12,0,0,0,2016-09-09T00:00:00.000Z,when i purchas the tap i thought it wa a portabl speaker for the echo it actual it own devic ye it portabl can oper wirelessit doe work with the same alexa set up the echo oper with no handsäyou can simpli speak to alexa the tap ha a microphon button you need to hold down to speak to alexa great sound qualiti recharg base unit,['tap'],Positive,66,0.6486
13,0,9,0,2017-01-03T00:00:00.000Z,these tablet work wonder for my need i didnt need a tablet to work onli for web brow and play some game noth fanci thi tablet fit perfectli for that and the pricepff perfect you wont find thi qualiti cheaper,"['great', 'tablet', 'for', 'the', 'price']",Positive,40,0.8225
2,0,10,0,2017-01-18T00:00:00.000Z,excel valu for my 3 yr old everyth you need plu hd and the wife can order off amazon prime so happi wife and kid for the price cant beat it 2nd one i have own,"['for', 'my', '3', 'yr', 'old']",Positive,36,0.5719
13,0,9,0,2016-06-05T00:00:00.000Z,i bought thi a s present for my 65 year old grandma she love it veri easi to oper no issu,"['solid', 'tablet']",Neutral,21,0.4588
16,0,8,0,2017-05-19T00:00:00.000Z,ha all the function a child need with easi parent control like the child profil with onli approv content,"['great', 'tablet', 'for', 'the', 'kiddo']",Positive,19,0.5994
19,0,11,0,2017-07-07T00:00:00.000Z,need a tablet for game and app for the elderli great choic,"['great', 'tablet']",Positive,12,0.6249
2,0,10,0,2017-01-16T00:00:00.000Z,bought for xmas for my wife she is not electron compet but found is easi to use,"['veri', 'good']",Positive,17,0.0
19,0,11,0,2017-01-20T00:00:00.000Z,we are so plea with thi tablet we purchas one for each of our grandson they can all use them play game togeth and send messag to the grandpar onc in awhil,"['got', 'grandson']",Positive,32,0.34
9,0,2,1,2018-01-17T00:00:00.000Z,thi one is the besti have the dot but thi is so nice if you have camera just ask for that camera and you will get it on the screen spend the extra,"['best', 'one', 'yet']",Positive,33,0.7118
12,0,0,0,2017-01-01T00:00:00.000Z,last christma i gave my nephew a fire stick which he love in the meantim i purchas an amazon tap for myself sinc he like gadget i knew he would want one so i purchas it for him,"['it', 'ha', 'so', 'mani', 'use', 'and', 'perform', 'well']",Positive,38,0.743
17,0,13,0,2016-10-02T00:00:00.000Z,i bought thi kindl for my 7 year old granddaught i bought a warranti for it i bought it in august i have alreadi had to replac it the charger connect got loo and wa not charg well it ha happen again i will need to exchang it again the problem is that i have to buy the warranti each time i wa go to buy one for her brother and sister but i am now rethink that,"['kid', 'kindl']",Negative,78,-0.1424
5,0,1,1,2017-12-02T00:00:00.000Z,let there be light thi ha been awesom to be abl to walk in to a room and with a spoken word from me have the light go on equal impress is that it gradual goe bright so you arenäôt blind by it,"['let', 'there', 'be', 'light']",Positive,43,0.6412
2,0,10,0,2017-02-19T00:00:00.000Z,thi feel like an afford tablet while not the best in class it isnt price to be that either work well happi with purchas,"['not', 'the', 'best', 'in', 'class', 'but', 'price', 'right']",Positive,24,0.0598
13,0,9,0,2016-08-01T00:00:00.000Z,bought thi kindl for my grandson he love it and it veri easi to use,"['great', 'product']",Positive,15,0.6369
2,0,10,0,2017-03-17T00:00:00.000Z,thi item work just a i expect it to great product,['awesom'],Positive,11,0.6249
16,0,8,0,2017-05-19T00:00:00.000Z,my daughter love it parent control are simpl make it easi when monitor what my kid is in to,"['great', 'tablet', 'for', 'kid']",Positive,19,0.6369
5,0,1,1,2018-01-22T00:00:00.000Z,got thi for my dad for christma awesom gift he wa super excit,['awesom'],Positive,13,0.7783
5,0,1,1,2018-01-23T00:00:00.000Z,my husband love the abil to listen to anyth and to be abl to run the live room light when he come in instead of tri to find the light switch,['alexa'],Positive,31,0.6369
14,0,22,3,2017-07-19T00:00:00.000Z,nice tablet and veri fastcap the storag option are way better than the previou model i would highli recommend thi tablet to anyon in the market for one,"['10', 'inch', 'kindl']",Positive,28,0.802
19,0,11,0,2016-07-23T00:00:00.000Z,i bought thi for my kid it a cheap altern to an ipad mini and should they lose it or break it it easi to replac with littl out of pocket,"['great', 'altern', 'to', 'ipad']",Positive,31,-0.4019
9,0,6,1,2018-05-24T00:00:00.000Z,got thi for my dad for christma he like that the speaker sound better he also enjoy be abl to make video call with it,"['great', 'stepup', 'from', 'the', 'echo', 'dot']",Positive,25,0.8225
2,0,10,0,2017-05-23T00:00:00.000Z,i love thi kindl work great for me i will be order anoth one today for my wife,"['great', 'item']",Positive,18,0.8519
13,0,9,0,2017-04-08T00:00:00.000Z,will definit keep buy kindl fire from best buy,"['kid', 'love', 'it']",Positive,9,0.4215
2,0,10,0,2017-01-13T00:00:00.000Z,thi 8 tablet is much better than the older 7 tablet it is faster and have a camera great improv over the older version,"['great', 'improv']",Positive,24,0.7906
9,0,6,1,2018-02-05T00:00:00.000Z,we love the echo show best featur is the flash bring that give u a rundown on news and weather each morn,"['love', 'thi', 'product']",Positive,22,0.8555
9,0,6,1,2017-10-23T00:00:00.000Z,i find myself say to my phone alexa play i wish they made it for my car too,"['i', 'dont', 'know', 'whi', 'i', 'wait', 'so', 'long']",Positive,18,0.6249
17,0,13,0,2017-01-31T00:00:00.000Z,my 2 12 year old love thi he cant break it with the thick rubber case and we can control the game he play and how long he play great mix of educ and fun item the onli problem is the charg cord is a bit too easi to break if they pull it off the charger it make the port loo and you have to get the right angl for it to charg,"['perfect', 'for', 'littl', 'techi']",Positive,74,0.9287
5,0,1,1,2017-12-04T00:00:00.000Z,great item we love our echo if onli she could mow the yard for the kid,"['amazon', 'echo']",Positive,16,0.8519
5,0,1,1,2018-01-12T00:00:00.000Z,fun gadget play song variou entertain still learn all it can do,"['fun', 'gadget']",Positive,12,0.7906
5,0,1,1,2017-12-22T00:00:00.000Z,i wa realli reluct buy alexa but iäôv read so much about thi item that i bought the packag alexa and phillip bulb and have been amaz with how well it work,"['alexa', 'is', 'a', 'great', 'devic']",Positive,32,0.3919
9,0,2,1,2018-02-03T00:00:00.000Z,the echo show is addict pair easi fantast sound and video and onc you download the alexa app and learn a few thing it becom indispens video call work well great for the offic or kitchen,"['a', 'fantast', 'person', 'assist']",Positive,36,0.7351
2,0,10,0,2017-03-15T00:00:00.000Z,my kid enjoy the tablet thi one is inexpens than ipad the avail of app are limit,"['great', 'tablet', 'for', 'beginn']",Positive,17,0.4939
13,0,9,0,2017-01-06T00:00:00.000Z,i bought thi tablet for my three year old niec it wa easi to set up for her and she love it i also purchas the kid free case to protect it,"['great', 'tablet']",Positive,32,0.8779
